id	name
145	Стратегический маркетинг базовый курс
52	Стратегический менеджмент базовый курс
422	Страхование имущества
332	Судебная медицина
333	Судебная психиатрия
171	Судебные и правоохранительные органы
409	Схемотехника телекоммуникационных устройств
535	Таможенно-тарифное регулирование внешнеэкономической деятельности
140	Таможенное дело
338	Таможенное право
301	Тарифное регулирование
639	Тенденции ресторанного бизнеса в современных условиях
496	Теоретическая механика
653	Теоретические и методологические проблемы в экономике
514	Теоретические основы товароведения и экспертизы
68	Теория вероятностей и математическая статистика
172	Теория государства и права
605	Теория и история дипломатии
580	Теория и история социологии
650	Теория и методика преподавания в высшей школе
631	Теория и методология рекреационной географии
440	Теория игр
25	Теория организации
36	Теория принятия решений
402	Теория сигналов
84	Теория систем и системный анализ
108	Теория экономического анализа
400	Теория электрических цепей
368	Техника и технологии масс-медиа
316	Техника и технология на предприятиях сервиса и туризма
375	Техника речи
258	Техника транспорта, обслуживания и ремонт
246	Техническая механика
508	Техническая эксплуатация автомобилей
253	Технические средства организации движения
328	Технологии брендинга в масс-медиа
395	Технологии внутреннего и социального туризма
640	Технологии туристско-рекреационного проектирования и освоения территорий
464	Технология и организация гостиничных услуг модуль 1
396	Технология и организация операторских и агентских услуг модуль 1
397	Технология и организация операторских и агентских услуг модуль 2
512	Технология и организация ремонта ТиТТМО модуль 1
465	Технология и организация услуг питания модуль 1
466	Технология и организация услуг питания модуль 2
247	Технология конструкционных материалов
329	Технология организации предприятий сервиса
69	Технология программирования
462	Технология ресторанной продукции
360	Технология создания имиджа модуль 1
363	Технология создания имиджа модуль 2
232	Типология форм архитектурной среды
530	Товарная номенклатура внешнеэкономической деятельности
536	Товарный менеджмент
537	Товароведение и экспертиза древесно-мебельных и силикатных товаров
521	Товароведение и экспертиза кожевенно-обувных и пушно-меховых товаров
528	Товароведение и экспертиза текстильных и швейно-трикотажных товаров, парфюмерно-косметических и химических товаров
538	Товароведение и экспертиза технически сложных товаров
123	Товароведение и экспертиза товаров
531	Товароведение и экспертиза ювелирных и металлохозяйственных товаров, пластических масс, культтоваров
522	Товароведение продовольственных товаров
124	Торговое дело
459	Традиции и культура питания народов мира
259	Транспортная инфраструктура
260	Транспортная логистика
146	Транспортная логистика торговых предприятий
248	Транспортная психология
254	Транспортная энергетика
26	Трудовое право
161	Трудовые споры
469	Туристско-рекреационное проектирование модуль 1
182	Уголовное право модуль Часть общая
166	Уголовное право модуль Часть особенная
192	Уголовный процесс
441	Управление базами данных
467	Управление гостиничными сетями
53	Управление государственными и муниципальными закупками
448	Управление затратами
454	Управление инвестиционным портфелем
399	Управление качеством базовый курс
449	Управление корпоративными финансами
560	Управление маркетингом
27	Управление персоналом
153	Управление персоналом организации
426	Управление продажами
89	Управление проектами
114	Управление проектами в международных компаниях
500	Управление социально-экономическими системами
157	Управление социальным развитием организации
646	Управленческая экономика
45	Управленческие решения
447	Управленческий учет
243	Устройство автомобилей
581	Учебная ознакомительная практика по получению первичных профессиональных умений и навыков
63	Учебная практика по получению первичных профессиональных умений и навыков
16	Учебная практика по формированию общекультурных компетенций
274	Учение о биосфере и устойчивое развитие человечества
275	Учение о гидросфере
276	Учение об атмосфере
432	Учет и отчетность в коммерческом банке
239	Физика
492	Физика модуль 1
493	Физика модуль 2
542	Физика цвета и психология восприятия
17	Физическая культура и спорт
403	Физические основы наноэлектроники
57	Физические основы электротехники
77	Философия
423	Финансово-кредитное обеспечение предпринимательства
265	Финансово-экономические основы производственно-технологической деятельности
97	Финансово-экономические расчеты
193	Финансовое право
680	Финансовый анализ (продвинутый курс)
427	Финансовый менеджмент базовый курс
100	Финансы
119	Финансы организаций (предприятий)
240	Химия
269	Химия модуль 1
273	Химия модуль 2
90	Хранилища данных
204	Цветоведение и колористика
120	Целевые бюджетные и внебюджетные фонды
37	Ценообразование в отраслях экономики
414	Цифровая обработка сигналов
404	Цифровая электроника
295	Экологическая экспертиза и аудит
284	Экологические катастрофы
501	Экологические проблемы автомобильного транспорта
290	Экологический менеджмент
291	Экологический мониторинг
198	Экологическое право
457	Экология
296	Экология человека и ее социальные аспекты
442	Эконометрика
679	Эконометрика (продвинутый уровень)
335	Эконометрическое моделирование
125	Экономика
336	Экономика внешнеторгового предприятия
